"","Property_Sector","Origination_Date","Fixed_Maturity","Recent_NOI","Recent_Value","Orig_Note_Amount","Year_Built","Physical_Occupancy_At_Securitiza","Scheduled_Balloon","FSH","Health","Industrial","LSH","Mixed_Use","Mobile_Home","Multi_family","Office","Other","Retail_Anchored","Retail_Unanchored","Self_Storage","Warehouse","Spread","Inv_Bank_Dummy"
"4710","Retail Anchored",1997-07-24,2012-08-01,2176038.33,24600000,18525000,1986,0.946,14345556.13,0,0,0,0,0,0,0,0,0,1,0,0,0,1.76971,1
"4711","Full Service Hotel",1997-08-15,2004-09-01,2723906.69,25500000,1.8e+07,1985,-1,16263945.44,1,0,0,0,0,0,0,0,0,0,0,0,0,2.1975,1
"4712","Multi-family",1997-06-16,2007-07-01,2109295.62,21700000,17360000,1984,0.985,15813514.71,0,0,0,0,0,0,1,0,0,0,0,0,0,1.51694,0
"4713","Multi-family",1997-06-16,2007-07-01,2073587.25,21900000,17342000,1985,0.906,15797118.4,0,0,0,0,0,0,1,0,0,0,0,0,0,1.51694,0
"4714","Limited Service Hotel",1997-10-03,2012-11-01,2668303,27300000,16965000,-1,-1,11252040.31,0,0,0,1,0,0,0,0,0,0,0,0,0,1.68384,0
"4715","Retail Anchored",1997-10-14,2012-11-01,1734782,20700000,16560000,1995,1,12486652.27,0,0,0,0,0,0,0,0,0,1,0,0,0,1.25175,0
"4716","Multi-family",1997-09-04,2027-10-01,1698309.49,2.1e+07,16500000,1965,0.978,1764951.88,0,0,0,0,0,0,1,0,0,0,0,0,0,0.8675,0
"4717","Office",1997-05-30,2012-06-01,3149208.23,25400000,16500000,1876,0.85,13424549.79,0,0,0,0,0,0,0,1,0,0,0,0,0,1.50738,1
"4718","Office",1997-09-17,2017-10-01,2493961.89,22600000,16300000,1988,1,757960.78,0,0,0,0,0,0,0,1,0,0,0,0,0,1.6569,0
"4719","Multi-family",1997-05-01,2007-05-01,1714950.2,18700000,14900000,1972,0.983,13498511.53,0,0,0,0,0,0,1,0,0,0,0,0,0,1.5325,0
"4720","Multi-family",1997-08-28,2022-09-01,1382360,1.9e+07,14800000,1990,0.95,5374957.56,0,0,0,0,0,0,1,0,0,0,0,0,0,1.37735,1
"4721","Multi-family",1997-10-09,2027-11-01,1423216,17500000,1.4e+07,1996,0.98,5.96,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0575,1
"4722","Retail Unanchored",1997-08-21,2007-09-01,1504859.28,18500000,13500000,1985,0.967,11867091.44,0,0,0,0,0,0,0,0,0,0,1,0,0,1.66708,0
"4723","Retail Anchored",1997-09-26,2007-10-01,1351227.61,17300000,13100000,1990,0.941,11606284.02,0,0,0,0,0,0,0,0,0,1,0,0,0,1.43736,1
"4724","Multi-family",1997-06-11,2007-07-01,1547697,16200000,12520000,1971,0.966,11296748.3,0,0,0,0,0,0,1,0,0,0,0,0,0,1.661875,0
"4725","Retail Anchored",1997-08-12,2007-09-01,2038971.09,16900000,12500000,1986,0.983,11344106,0,0,0,0,0,0,0,0,0,1,0,0,0,2.23685,1
"4726","Limited Service Hotel",1997-10-10,2007-11-01,1280447.2,19400000,12250000,1986,-1,9996967.55,0,0,0,1,0,0,0,0,0,0,0,0,0,1.5266,0
"4727","Office",1997-06-27,2004-07-01,1899517.23,18500000,1.2e+07,1970,0.887,10700045.89,0,0,0,0,0,0,0,1,0,0,0,0,0,2.1474,1
"4728","Healthcare",1997-06-30,2007-08-01,1594664.66,15700000,11790000,1991,1,10644388.95,0,1,0,0,0,0,0,0,0,0,0,0,0,1.85624,1
"4729","Retail Anchored",1997-08-29,2012-10-01,1366809.41,14300000,10500000,1991,1,8393146.43,0,0,0,0,0,0,0,0,0,1,0,0,0,1.393785,1
"4730","Retail Anchored",1997-05-06,2007-06-01,1212012.81,13800000,10300000,1956,0.957,9091543.98,0,0,0,0,0,0,0,0,0,1,0,0,0,1.82773,1
"4731","Multi-family",1997-08-22,2007-09-01,1079967.61,13700000,1e+07,1989,1,8800952.39,0,0,0,0,0,0,1,0,0,0,0,0,0,0.987050000000001,1
"4732","Office",1997-07-02,2007-08-01,1799163.67,18200000,1e+07,1961,0.999,8995122.59,0,0,0,0,0,0,0,1,0,0,0,0,0,1.69638,1
"4733","Limited Service Hotel",1997-04-18,2007-05-01,1528166.12,13900000,9800000,1986,-1,8181672.06,0,0,0,1,0,0,0,0,0,0,0,0,0,2.407185,1
"4734","Retail Unanchored",1997-09-19,2007-10-01,1331333.97,12500000,9675000,1973,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.1010233,0
"4735","Retail Anchored",1997-08-21,2007-09-01,1211732.85,12600000,9400000,1991,0.96,8263011.22,0,0,0,0,0,0,0,0,0,1,0,0,0,1.66708,0
"4736","Multi-family",1997-07-10,2012-08-01,1137760,13100000,9400000,1967,0.875,7111900.96,0,0,0,0,0,0,1,0,0,0,0,0,0,1.8266,0
"4737","Multi-family",1986-08-08,2001-08-01,1137614.28,12500000,1e+07,1975,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0715783000000005,1
"4738","Mixed Use",1997-10-07,2012-11-01,1119219.66,13500000,9e+06,1978,1,1.58,0,0,0,0,1,0,0,0,0,0,0,0,0,2.143985,1
"4739","Multi-family",1997-08-27,2004-09-01,946116.65,11500000,8900000,1985,0.969,8316853.49,0,0,0,0,0,0,1,0,0,0,0,0,0,1.28746666666667,0
"4740","Industrial",1997-08-13,2004-09-01,1116908.79,1.2e+07,8800000,1956,1,7866791.5,0,0,1,0,0,0,0,0,0,0,0,0,0,1.66233333333333,1
"4741","Retail Anchored",1997-10-10,2007-11-01,1025351.35,12500000,8500000,1985,0.892,7377574.6,0,0,0,0,0,0,0,0,0,1,0,0,0,1.3566,0
"4742","Retail Anchored",1997-08-29,2012-10-01,1215000.29,11600000,8500000,1991,1,6794451.3,0,0,0,0,0,0,0,0,0,1,0,0,0,1.393785,1
"4743","Retail Anchored",1997-09-23,2007-10-01,1078222,11300000,8500000,1960,0.932,7453524.22,0,0,0,0,0,0,0,0,0,1,0,0,0,1.66221,1
"4744","Healthcare",1997-10-01,2007-10-01,1428305.75,11500000,8500000,1981,0.826,6877064.39,0,1,0,0,0,0,0,0,0,0,0,0,0,1.8875,0
"4745","Multi-family",1997-06-16,2007-07-01,1002477.26,10500000,8400000,1982,0.961,7651700.21,0,0,0,0,0,0,1,0,0,0,0,0,0,1.51694,0
"4746","Retail Anchored",1997-06-13,2007-07-01,730182,1.1e+07,8250000,1981,1,7432801.39,0,0,0,0,0,0,0,0,0,1,0,0,0,1.6868,1
"4747","Industrial",1997-06-17,2017-07-01,1167134,11500000,8125000,1986,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.36194,0
"4748","Retail Anchored",1997-08-12,2007-09-01,935962.03,11300000,8e+06,1979,0.95,7215370.15,0,0,0,0,0,0,0,0,0,1,0,0,0,2.01185,0
"4749","Multi-family",1997-06-30,2007-07-01,962946,11100000,8e+06,1971,0.963,7263454.31,0,0,0,0,0,0,1,0,0,0,0,0,0,2.0975,0
"4750","Multi-family",1997-09-30,2007-10-01,779762.49,9400000,7500000,1983,0.975,6616612.54,0,0,0,0,0,0,1,0,0,0,0,0,0,1.2675,1
"4751","Office",1997-06-30,2004-07-01,1067168.44,1e+07,7500000,1986,0.903,7086702.29,0,0,0,0,0,0,0,1,0,0,0,0,0,2.0825,1
"4752","Multi-family",1997-05-07,2004-06-01,961312,11100000,7500000,1986,0.95,6978307.27,0,0,0,0,0,0,1,0,0,0,0,0,0,1.64656666666667,1
"4753","Multi-family",1997-08-01,2007-08-01,951724.11,9900000,7425000,1979,0.969,6357580.13,0,0,0,0,0,0,1,0,0,0,0,0,0,1.4675,0
"4754","Retail Anchored",1997-10-02,2007-11-01,800285.95,9650000,7230000,1997,0.91,6028260.99,0,0,0,0,0,0,0,0,0,1,0,0,0,1.76638,1
"4755","Retail Anchored",1997-05-23,2007-06-01,1172466.85,12500000,7200000,1985,0.923,6050243.81,0,0,0,0,0,0,0,0,0,1,0,0,0,1.85727,0
